,State,County,FIPS,Year,Population
6636,FL,LAKE,12069,2008,293654.0
6637,FL,LEE,12071,2008,610984.0
6638,FL,LEON,12073,2008,271130.0
6639,FL,LEVY,12075,2008,40809.0
6640,FL,LIBERTY,12077,2008,8323.0
6641,FL,MADISON,12079,2008,19347.0
6642,FL,MANATEE,12081,2008,318766.0
6643,FL,MARION,12083,2008,330052.0
6644,FL,MARTIN,12085,2008,144369.0
6645,FL,MIAMI-DADE,12086,2008,2436062.0
6646,FL,MONROE,12087,2008,72730.0
6647,FL,NASSAU,12089,2008,71557.0
6648,FL,OKALOOSA,12091,2008,181752.0
6649,FL,OKEECHOBEE,12093,2008,39968.0
6650,FL,ORANGE,12095,2008,1115525.0
6651,FL,OSCEOLA,12097,2008,261746.0
6652,FL,PALM BEACH,12099,2008,1294938.0
6653,FL,PASCO,12101,2008,461313.0
6654,FL,PINELLAS,12103,2008,916458.0
6655,FL,POLK,12105,2008,594801.0
6656,FL,PUTNAM,12107,2008,74999.0
6657,FL,SAINT JOHNS,12109,2008,181720.0
6658,FL,SAINT LUCIE,12111,2008,273151.0
6659,FL,SANTA ROSA,12113,2008,148538.0
6660,FL,SARASOTA,12115,2008,377178.0
6661,FL,SEMINOLE,12117,2008,416564.0
6662,FL,SUMTER,12119,2008,86433.0
6663,FL,SUWANNEE,12121,2008,40774.0
6664,FL,TAYLOR,12123,2008,22356.0
6665,FL,UNION,12125,2008,15718.0
6666,FL,VOLUSIA,12127,2008,497366.0
6667,FL,WAKULLA,12129,2008,29183.0
6668,FL,WALTON,12131,2008,53563.0
6669,FL,WASHINGTON,12133,2008,24706.0
6670,GA,APPLING,13001,2008,18133.0
6671,GA,ATKINSON,13003,2008,8366.0
6672,GA,BACON,13005,2008,10987.0
6673,GA,BAKER,13007,2008,3728.0
6674,GA,BALDWIN,13009,2008,47855.0
6675,GA,BANKS,13011,2008,17953.0
6676,GA,BARROW,13013,2008,67362.0
6677,GA,BARTOW,13015,2008,98415.0
6678,GA,BEN HILL,13017,2008,17675.0
6679,GA,BERRIEN,13019,2008,18863.0
6680,GA,BIBB,13021,2008,154384.0
6681,GA,BLECKLEY,13023,2008,12985.0
6682,GA,BRANTLEY,13025,2008,17593.0
6683,GA,BROOKS,13027,2008,16475.0
6684,GA,BRYAN,13029,2008,29178.0
6685,GA,BULLOCH,13031,2008,67092.0
6686,GA,BURKE,13033,2008,23084.0
6687,GA,BUTTS,13035,2008,23794.0
6688,GA,CALHOUN,13037,2008,6456.0
6689,GA,CAMDEN,13039,2008,49713.0
6690,GA,CANDLER,13043,2008,10691.0
6691,GA,CARROLL,13045,2008,110242.0
6692,GA,CATOOSA,13047,2008,63271.0
6693,GA,CHARLTON,13049,2008,12604.0
6694,GA,CHATHAM,13051,2008,255269.0
6695,GA,CHATTAHOOCHEE,13053,2008,11624.0
6696,GA,CHATTOOGA,13055,2008,26146.0
6697,GA,CHEROKEE,13057,2008,208271.0
6698,GA,CLARKE,13059,2008,115768.0
6699,GA,CLAY,13061,2008,3233.0
6700,GA,CLAYTON,13063,2008,262099.0
6701,GA,CLINCH,13065,2008,6941.0
6702,GA,COBB,13067,2008,679822.0
6703,GA,COFFEE,13069,2008,41813.0
6704,GA,COLQUITT,13071,2008,44872.0
6705,GA,COLUMBIA,13073,2008,117504.0
6706,GA,COOK,13075,2008,17067.0
6707,GA,COWETA,13077,2008,122281.0
6708,GA,CRAWFORD,13079,2008,12967.0
6709,GA,CRISP,13081,2008,23243.0
6710,GA,DADE,13083,2008,16651.0
6711,GA,DAWSON,13085,2008,21951.0
6712,GA,DECATUR,13087,2008,28010.0
6713,GA,DEKALB,13089,2008,685646.0
6714,GA,DODGE,13091,2008,21399.0
6715,GA,DOOLY,13093,2008,14191.0
6716,GA,DOUGHERTY,13095,2008,94363.0
6717,GA,DOUGLAS,13097,2008,129508.0
6718,GA,EARLY,13099,2008,11262.0
6719,GA,ECHOLS,13101,2008,3954.0
6720,GA,EFFINGHAM,13103,2008,50738.0
6721,GA,ELBERT,13105,2008,20477.0
6722,GA,EMANUEL,13107,2008,22421.0
6723,GA,EVANS,13109,2008,11020.0
6724,GA,FANNIN,13111,2008,23416.0
6725,GA,FAYETTE,13113,2008,105192.0
6726,GA,FLOYD,13115,2008,95922.0
6727,GA,FORSYTH,13117,2008,166338.0
6728,GA,FRANKLIN,13119,2008,22254.0
6729,GA,FULTON,13121,2008,888694.0
6730,GA,GILMER,13123,2008,28211.0
6731,GA,GLASCOCK,13125,2008,3010.0
6732,GA,GLYNN,13127,2008,78013.0
6733,GA,GORDON,13129,2008,54567.0
6734,GA,GRADY,13131,2008,24728.0
