,Year,FIPS,County,Morphine_equ,State,Deaths,Year_Changed,Population,Deaths_PC
184,2007.0,13067.0,COBB,159854.9054414673,GA,45.0,,670438.0,6.712030046029611e-05
185,2007.0,13069.0,COFFEE,17141.38422222541,GA,,,41299.0,
186,2007.0,13071.0,COLQUITT,6668.091213075097,GA,,,44209.0,
187,2007.0,13073.0,COLUMBIA,27718.176415001508,GA,,,115074.0,
188,2007.0,13075.0,COOK,2650.205202500009,GA,,,16848.0,
189,2007.0,13077.0,COWETA,25365.947048213573,GA,11.0,,118156.0,9.309726124784183e-05
190,2007.0,13079.0,CRAWFORD,1065.1390800000008,GA,,,12895.0,
191,2007.0,13081.0,CRISP,5549.3294158625295,GA,,,23146.0,
192,2007.0,13083.0,DADE,5373.264505500034,GA,,,16648.0,
193,2007.0,13085.0,DAWSON,9980.61126872512,GA,,,21509.0,
194,2007.0,13087.0,DECATUR,6498.085115862553,GA,,,27883.0,
195,2007.0,13089.0,DEKALB,74390.33026976958,GA,39.0,,680962.0,5.7271918256819026e-05
196,2007.0,13091.0,DODGE,9479.082675087642,GA,,,21225.0,
197,2007.0,13093.0,DOOLY,574.8396194999992,GA,,,13867.0,
198,2007.0,13095.0,DOUGHERTY,16069.919257850815,GA,,,94522.0,
199,2007.0,13097.0,DOUGLAS,42462.25601316532,GA,,,125560.0,
200,2007.0,13099.0,EARLY,1406.1398797250033,GA,,,11429.0,
201,2007.0,13103.0,EFFINGHAM,8631.064976862695,GA,,,49660.0,
202,2007.0,13105.0,ELBERT,8698.89754750015,GA,,,20551.0,
203,2007.0,13107.0,EMANUEL,9642.899081000163,GA,,,22109.0,
204,2007.0,13109.0,EVANS,5490.01233500004,GA,,,10899.0,
205,2007.0,13111.0,FANNIN,11839.507150500263,GA,,,23185.0,
206,2007.0,13113.0,FAYETTE,24898.48220084097,GA,,,104989.0,
207,2007.0,13115.0,FLOYD,50949.98231057869,GA,14.0,,95308.0,0.00014689218113904395
208,2007.0,13117.0,FORSYTH,30946.089410450997,GA,15.0,,157129.0,9.546296355224052e-05
209,2007.0,13119.0,FRANKLIN,16023.043025000126,GA,,,22195.0,
210,2007.0,13121.0,FULTON,143243.1710992921,GA,91.0,,869329.0,0.00010467843589711145
211,2007.0,13123.0,GILMER,12522.306741450227,GA,,,27996.0,
212,2007.0,13125.0,GLASCOCK,1.2108,GA,,,2988.0,
213,2007.0,13127.0,GLYNN,29939.80673936356,GA,13.0,,76513.0,0.0001699057676473279
214,2007.0,13129.0,GORDON,16484.991748500208,GA,,,53409.0,
215,2007.0,13131.0,GRADY,2793.3159120000005,GA,,,24624.0,
216,2007.0,13133.0,GREENE,4626.894739500004,GA,,,15823.0,
217,2007.0,13135.0,GWINNETT,120667.08058314175,GA,32.0,,764129.0,4.187774577329221e-05
218,2007.0,13137.0,HABERSHAM,14530.060213362869,GA,,,41865.0,
219,2007.0,13139.0,HALL,45313.392090377165,GA,12.0,,172446.0,6.958700114818552e-05
220,2007.0,13141.0,HANCOCK,576.7288499999997,GA,,,9889.0,
221,2007.0,13143.0,HARALSON,29705.63022966296,GA,13.0,,28558.0,0.00045521395055676166
222,2007.0,13145.0,HARRIS,711.6140475000011,GA,,,30276.0,
223,2007.0,13147.0,HART,9080.086503662631,GA,,,24894.0,
224,2007.0,13149.0,HEARD,1358.4615000000038,GA,,,11618.0,
225,2007.0,13151.0,HENRY,44744.02472275195,GA,10.0,,188736.0,5.2984062394031876e-05
226,2007.0,13153.0,HOUSTON,38332.58840517753,GA,,,132373.0,
227,2007.0,13155.0,IRWIN,893.4401475000011,GA,,,9493.0,
228,2007.0,13157.0,JACKSON,15744.641386062844,GA,,,57521.0,
229,2007.0,13159.0,JASPER,2346.089955000004,GA,,,13569.0,
230,2007.0,13161.0,JEFF DAVIS,3496.7048363624867,GA,,,14204.0,
231,2007.0,13163.0,JEFFERSON,4064.5081165000042,GA,,,16830.0,
232,2007.0,13165.0,JENKINS,1964.5942755000024,GA,,,8442.0,
233,2007.0,13167.0,JOHNSON,2149.062204000005,GA,,,10107.0,
234,2007.0,13169.0,JONES,3099.8036765875045,GA,,,28000.0,
235,2007.0,13171.0,LAMAR,3403.1863415000043,GA,,,17476.0,
